Key,Roastery,"Roastery City","Roastery Country",Name,Country,Region,Farm,Processing,"Altitude min","Altitude max","Price (EUR per kg)",Roast,Score,Variety,Profile
48,"Animal Coffee Roasters",Barcelona,Spain,,Mexico,Chiapas,"Domitilo Pérez y Lucila Santiz",Washed,1700,1700,45.25,espresso,85,"bourbon, typica","cherry, orange, marzipan, praline"
49,"Animal Coffee Roasters",Barcelona,Spain,,Peru,"Valles de Esquilaya – Ayapata","Adán Rodrigo Quispe",Washed,1800,1800,44.95,filter,84.25,bourbon,"lemon, pastry, dark chocolate, pear"
50,"Animal Coffee Roasters",Barcelona,Spain,,Peru,"Valles de Esquilaya – Ayapata","Adán Rodrigo Quispe",Washed,1800,1800,44.95,espresso,84.25,bourbon,"lemon, pastry, dark chocolate, pear"
51,"Animal Coffee Roasters",Barcelona,Spain,"Naiane y Alexandre Mudrick",Brazil,"Mantiqueira de Minas","Naiane Y Alexandre Mudrick",Natural,1000,1000,37,espresso,83.25,"mundo novo","orange, cinnamon, nutmeg"
52,"Animal Coffee Roasters",Barcelona,Spain,Caldas,Colombia,Caldas,"pequeños productores asociados a la OPCE",Washed,1500,1850,39.95,espresso,83.75,"caturra, castillo","berry, stone fruit, brown sugar"
53,"April Coffee",København,Denmark,Meti,Ethiopia,Hambela,"Bishan Fugu Alaka",Washed,,,93.05,filter,,heirloom,"jasmine, citrus fruit, nectarine"
54,"April Coffee",København,Denmark,"El Socorro",Guatemala,Palencia,"El Socorro",Washed,,,187.85,filter,90.1,geisha,"nectarine, melon, jasmine"
55,"April Coffee",København,Denmark,"El Socorro",Guatemala,Palencia,"El Socorro",Washed,,,91.17,filter,,pacamara,"melon, herbs, nougat"
56,"April Coffee",København,Denmark,Kainamui,Kenya,Ngariama,"Kainamui Factory",Washed,1750,1750,87.68,filter,,"sl28, sl34","red apple, jasmine, gooseberry"
57,"April Coffee",København,Denmark,Zewde,Ethiopia,"Guji Zone",Hambela,Natural,1800,1800,93.05,filter,,heirloom,"tropical fruit, jasmine, raspberry"
58,"April Coffee",København,Denmark,"Volcàn Azul","Costa Rica",Alajuela,"Volcan Azul","Yellow Honey",,,107.28,filter,,h1,"stone fruit, flower, nougat"
59,"April Coffee",København,Denmark,"Volcàn Azul","Costa Rica",Alajuela,"Volcan Azul",Washed,1170,1230,100.57,espresso,,catuai,"milk chocolate, stone fruit"
60,"April Coffee",København,Denmark,Kainamui,Kenya,Ngariama,"Kainamui Factory",Washed,1750,1750,87.68,espresso,,"sl28, sl34","gooseberry, red apple, flower"
61,"April Coffee",København,Denmark,Zewde,Ethiopia,"Guji Zone",Hambela,Natural,1800,1800,93.05,espresso,,heirloom,"tropical fruit, jasmine, raspberry"
62,"April Coffee",København,Denmark,Meti,Ethiopia,Hambela,"Bishan Fugu Alaka",Washed,,,93.05,espresso,,heirloom,"jasmine, citrus fruit, nectarine"
63,"April Coffee",København,Denmark,"Volcàn Azul","Costa Rica",Alajuela,"Volcan Azul","Yellow Honey",,,107.28,espresso,,h1,"stone fruit, flower, nougat"
64,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom",Keramo,Ethiopia,"Bensa Woreda, Sidama Zone",,Natural,2300,2300,41.66,filter,,heirloom,"blueberry, peach, flower, milk chocolate"
65,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","Las Brisas",Colombia,"Acevedo Municipality, Department of Huila","Las Brisas","Natural Anaerobic Fermentation",1500,1500,48.42,filter,,pacamara,"tropical fruit, cranberry, sugarcane, lemon"
66,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","Las Brisas",Colombia,"Acevedo Municipality, Department of Huila","Las Brisas","Natural Anaerobic Fermentation",1500,1500,48.42,espresso,,pacamara,"toffee, maraschino cherry, berry"
67,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","El Durazno",Honduras,"Masaguara, Department of Intibucá","El Durazno",Washed,1700,1700,47.29,filter,,"bourbon, catuai","chocolate, orange, forest fruit, flower"
