Roastery,Roastery City,Roastery Country,Name,Country,Region,Farm,Processing,Variety,Altitude min,Altitude max,Price (EUR per kg),Profile,Roast,Score
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Las Lajas Double Diamond,Costa Rica,"Sabanilla de Alajuela, Central Valley","San Luis, Las Lajas Micromill",Double Diamond Natural Anaerobic,"Catuaí, Caturra, Villa Sarchi",1400,1600,54.05,Fruit,filter,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Gishyita,Rwanda,"Karangi District, Western Province",Gishyita,Washed,Red Bourbon,1700,1900,39.41,"Chocolate, Red Berry, Orange, Dried fruit",espresso,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Bosques de San Francisco,Guatemala,"Antigua City, Sacatepéquez",Bosques de San Francisco,Fully Washed,"Caturra, Bourbon, Pacamara",1600,1600,38.28,"Cocoa, almonds, Forest fruit",espresso,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,San Jose,Costa Rica,"Alajuela Province, Valle Occidental","San Jose, Genesis Micromill",Yellow Honey,Mundo Maya,1500,1900,41.66,"Caramel, Citrus",espresso,
Assembly Coffee Roasters,London,United Kingdom,Moises Chaguala,Colombia,Huila,Finca La Maria,Natural,Bourbon Aji,1600,1600,72.06,"Tropical fruits, Cherry blossom",filter,
Assembly Coffee Roasters,London,United Kingdom,Efrain Carhuallocllo,Peru,"San Ignacio, Cajamarca",Efrain Carhuallocllo,Washed,Caturra,1700,1700,56.68,"Pecan, Red berries",espresso,
Assembly Coffee Roasters,London,United Kingdom,Rodolfo Ruffatti,El Salvador,Apaneca-Ilamatepec mountain range,Finca El Salvador,Natural,Bourbon,1700,1700,47.61,"Citrus, Vanilla",espresso,
Assembly Coffee Roasters,London,United Kingdom,Gisheke,Rwanda,Nyamasheke,Nyamasheke smallholder farmers,Natural,Red Bourbon,1650,1850,62.34,"Red Berries, Fig",filter,
Assembly Coffee Roasters,London,United Kingdom,Pacamara Cobrizo,El Salvador,"Cerro El Aguila, Santa Ana",Finca El Salvador,48-hour cherry maceration,Bronze tip Pacamara,1650,1650,63.48,"Pineapple, Dark Chocolate",filter,
Assembly Coffee Roasters,London,United Kingdom,Pacamara Verde,El Salvador,"Cerro El Aguila, Santa Ana",Finca El Salvador,48-hour cherry maceration,Green tip Pacamara,1650,1650,63.49,"Passion fruit, Grapefruit",filter,
Assembly Coffee Roasters,London,United Kingdom,Bookkisa,Ethiopia,"Metu Bishari, Illubabor",Bookkisa smallholder farmers,Natural,"Gibirinna 74110, Serto 74112",,,61.21,"Stone fruits, White jasmine, Tea",filter,
Assembly Coffee Roasters,London,United Kingdom,Shyira,Rwanda,Nyabihu,Nyabihu farmers,Washed,Red Bourbon,1450,1600,62.34,"Honey, Citrus",filter,
Back to Black,Amsterdam,Netherlands,Fazenda Maria Celeste,Brazil,"Três Corações, Minas Gerais",Claudia Maria Carvalho Ribeiro,Natural,Mundo Novo,1100,1100,27,"Milk chocolate, Caramel, light Citrus",filter,
Back to Black,Amsterdam,Netherlands,Fazenda Maria Celeste,Brazil,"Três Corações, Minas Gerais",Claudia Maria Carvalho Ribeiro,Natural,Mundo Novo,1100,1100,27,"Milk chocolate, Caramel, light Citrus",espresso,
Back to Black,Amsterdam,Netherlands,Lombardia,El Salvador,"Santa Ana, Cerro Santa Lucia",Rudolfo Rufatti Battle,Natural,Catimor,950,1000,28.50,"Bakers chocolate, nutty, caramel, prune",filter,
Back to Black,Amsterdam,Netherlands,Lombardia,El Salvador,"Santa Ana, Cerro Santa Lucia",Rudolfo Rufatti Battle,Natural,Catimor,950,1000,28.50,"Bakers chocolate, nutty, caramel, prune",espresso,
Back to Black,Amsterdam,Netherlands,Bombe Village 2022,Ethiopia,"Bombe Mountains, Sidama",Asefa Dukamo & 667 Bombe Producers,Natural,Heirlooms ’74-219 & ’74-212,1920,2020,42.75,"Black tea, Elderflower, Red Currant, Strawberry",filter,
Back to Black,Amsterdam,Netherlands,Bombe Village 2022,Ethiopia,"Bombe Mountains, Sidama",Asefa Dukamo & 667 Bombe Producers,Natural,"74219, 74212",1920,2020,42.75,"Black tea, Elderflower, Red Currant, Strawberry",espresso,
Back to Black,Amsterdam,Netherlands,Susy Leon & Wilfrido Requijo,Peru,"Huabal, El Huaco in Cajamarca, Jaen",Santos Flores Cordova,Washed,"Caturra, Pache",1860,1860,42.35,"Tropical fruits, Honey, Rose",filter,
Back to Black,Amsterdam,Netherlands,Susy Leon & Wilfrido Requijo,Peru,"Huabal, El Huaco in Cajamarca, Jaen",Santos Flores Cordova,Washed,"Caturra, Pache",1860,1860,42.35,"Tropical fruits, Honey, Rose",espresso,
